VIVIENDAS ADJUDICADAS POR DISTRITOS DESDE 1/06/2015 A 31/12/2018;;;;;
DISTRITOS;Total;Arrendamiento General;Arrendamiento Jovenes;Atencion Prioritaria;Resto Programas (*)
ARGANZUELA;28;;24;1;3
BARAJAS;319;193;6;73;47
CARABANCHEL;341;121;39;9;172
CENTRO;153;16;57;14;66
CHAMBERI;3;1;-;-;2
CIUDAD LINEAL;12;1;-;-;11
FUENCARRAL-EL PARDO;9;-;-;2;7
HORTALEZA;12;-;3;-;9
LATINA;57;-;-;1;56
MONCLOA;3;;;;3
MORATALAZ;11;1;-;1;9
PUENTE DE VALLECAS;99;4;6;17;72
RETIRO;11;1;-;1;9
SALAMANCA;2;;;1;1
SAN BLAS;5;1;;;4
TETUAN;85;9;16;9;51
USERA;232;37;17;34;144
VALLECAS VILLA;722;290;165;122;145
VICALVARO;108;82;5;9;12
VILLAVERDE;679;352;33;99;195
TOTAL;2891;1109;371;393;1018
;;;;;
